"account_id","id","cargo_name","account_name","cargo_type","min_size","max_size","region","matching_region","del_port","redel_port","laycan_start_date","laycan_end_date","duration","email_id","phone_number","latitude","longitude","received_at","process_id"
"TR149P","8227","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"448071"
"TR149P","8333","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"481184"
"TR149P","8389","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"631181"
"TR149P","8452","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"813522"
"TR149P","8567","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"881640"
"TR149P","8738","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"250121"
"TR149P","8785","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","APS Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9138","121.6147",NULL,"800599"
"TR149P","8842","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"616288"
"TR149P","8892","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"902566"
"TR149P","8949","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"539997"
"TR149P","9066","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"541631"
"TR149P","9121","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"206131"
"TR149P","9178","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"492972"
"TR149P","9461","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"599751"
"TR149P","9489","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"447700"
"TR149P","9526","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"367320"
"TR149P","9572","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"206813"
"TR149P","9616","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"137887"
"TR149P","9661","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"422687"
"TR149P","9707","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"816708"
"TR149P","9753","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"556631"
"TR149P","9797","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"939325"
"TR149P","9842","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"648569"
"TR149P","9888","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"784517"
"TR149P","9934","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"437276"
"TR149P","9979","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"540955"
"TR149P","10023","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"029306"
"TR149P","10067","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"148108"
"TR149P","10106","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"194083"
"TR149P","10153","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"760886"
"TR149P","10198","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"957677"
"TR149P","10243","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"443824"
"TR149P","10288","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"088016"
"TR149P","10332","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"468563"
"TR149P","10378","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"944233"
"TR149P","10424","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"240969"
"TR149P","10467","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"160072"
"TR149P","10511","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"005347"
"TR149P","10562","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"044123"
"TR149P","10605","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"717380"
"TR149P","10654","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"229170"
"TR149P","10699","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"315760"
"TR149P","10746","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"957202"
"TR149P","10790","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"647842"
"TR149P","10834","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"999611"
"TR149P","10875","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9248","121.6147",NULL,"347330"
"TR149P","10918","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"616791"
"TR149P","10966","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"616962"
"TR149P","11008","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"962606"
"TR149P","11052","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"968674"
"TR149P","11099","Bagged Rice",,"Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"513288"
"TR149P","11144","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"009091"
"TR149P","11194","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"504225"
"TR149P","11240","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","APS Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"875707"
"TR149P","11280","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.914","121.6147",NULL,"597664"
"TR149P","11324","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9138","121.6147",NULL,"909291"
"TR149P","11374","Bagged Rice","UMC Chartering","Dry Bulk","50000","69000","0","Far East","Dalian","West Africa","2025-11-20","2025-11-25","70","brokers@u-m-c.com.ua","+38 097 980 46 08","38.9213","121.6298",NULL,"362682"
